pl_name,discoverymethod,disc_facility,pl_rade,pl_eqt,st_teff
"HD 285968 b","Radial Velocity","La Silla Observatory",,450.00,
"HD 290327 b","Radial Velocity","La Silla Observatory",,,5552.00
"HD 290327 b","Radial Velocity","La Silla Observatory",,,5505.00
"HD 31527 b","Radial Velocity","La Silla Observatory",,,5898.00
"HD 31527 c","Radial Velocity","La Silla Observatory",,,5898.00
"HD 31527 d","Radial Velocity","La Silla Observatory",,,5898.00
"HD 330075 b","Radial Velocity","La Silla Observatory",,990.00,5017.00
"HD 330075 b","Radial Velocity","La Silla Observatory",,,5000.00
"HD 106515 A b","Radial Velocity","La Silla Observatory",,,
"HD 106515 A b","Radial Velocity","La Silla Observatory",,,5362.00
"HD 106515 A b","Radial Velocity","La Silla Observatory",,,5364.00
"HD 106515 A b","Radial Velocity","La Silla Observatory",,,
"HD 166724 b","Radial Velocity","La Silla Observatory",,,5127.00
"HD 166724 b","Radial Velocity","La Silla Observatory",,,5127.00
"HD 196067 b","Radial Velocity","La Silla Observatory",,,6017.00
"HD 196067 b","Radial Velocity","La Silla Observatory",,,
"HD 196067 b","Radial Velocity","La Silla Observatory",,,6072.00
"HD 220689 b","Radial Velocity","La Silla Observatory",,,5921.00
"HD 220689 b","Radial Velocity","La Silla Observatory",,,5921.00
"HD 220689 b","Radial Velocity","La Silla Observatory",,,5921.00
"HD 27631 b","Radial Velocity","La Silla Observatory",,,5737.00
"HD 27631 b","Radial Velocity","La Silla Observatory",,,5737.00
"HD 27631 b","Radial Velocity","La Silla Observatory",,,5737.00
"HD 65216 c","Radial Velocity","La Silla Observatory",,,5612.00
"HD 98649 b","Radial Velocity","La Silla Observatory",,,
"HD 98649 b","Radial Velocity","La Silla Observatory",,,
"HD 98649 b","Radial Velocity","La Silla Observatory",,,5790.00
"HD 98649 b","Radial Velocity","La Silla Observatory",,,5759.00
"HIP 5158 c","Radial Velocity","La Silla Observatory",,,4813.00
"GJ 3470 b","Radial Velocity","La Silla Observatory",3.88000000,604.00,3652.00
"GJ 3470 b","Radial Velocity","La Silla Observatory",4.57000000,593.50,3600.00
"GJ 3470 b","Radial Velocity","La Silla Observatory",4.20000000,615.00,3600.00
"GJ 3470 b","Radial Velocity","La Silla Observatory",3.88000000,615.00,3652.00
"GJ 3470 b","Radial Velocity","La Silla Observatory",,,3552.00
"GJ 3470 b","Radial Velocity","La Silla Observatory",,,3552.00
"GJ 3470 b","Radial Velocity","La Silla Observatory",4.32000000,,
"GJ 3470 b","Radial Velocity","La Silla Observatory",,,3600.00
"GJ 3470 b","Radial Velocity","La Silla Observatory",4.13050781,595.19,3552.00
"GJ 3470 b","Radial Velocity","La Silla Observatory",,,3552.00
"GJ 3470 b","Radial Velocity","La Silla Observatory",4.83000000,,3600.00
"HD 77338 b","Radial Velocity","La Silla Observatory",,,5341.00
"HD 77338 b","Radial Velocity","La Silla Observatory",,,5370.00
"HD 40307 f","Radial Velocity","La Silla Observatory",,,4977.00
"HD 40307 f","Radial Velocity","La Silla Observatory",,398.00,4867.44
"HD 40307 f","Radial Velocity","La Silla Observatory",,,4956.00
"HD 40307 g","Radial Velocity","La Silla Observatory",,255.00,4867.44
"HD 40307 g","Radial Velocity","La Silla Observatory",,,4956.00
"GJ 676 A d","Radial Velocity","La Silla Observatory",,,
"GJ 676 A d","Radial Velocity","La Silla Observatory",,,
"GJ 676 A d","Radial Velocity","La Silla Observatory",,,
"GJ 676 A e","Radial Velocity","La Silla Observatory",,,
"GJ 676 A e","Radial Velocity","La Silla Observatory",,,
"GJ 676 A e","Radial Velocity","La Silla Observatory",,,
"BD-06 1339 b","Radial Velocity","La Silla Observatory",,,
"BD-06 1339 b","Radial Velocity","La Silla Observatory",,,4324.00
"BD-06 1339 c","Radial Velocity","La Silla Observatory",,,4324.00
"HD 103774 b","Radial Velocity","La Silla Observatory",,,6489.00
"HD 109271 b","Radial Velocity","La Silla Observatory",,,5783.00
"HD 109271 c","Radial Velocity","La Silla Observatory",,,5783.00
"HD 219077 b","Radial Velocity","La Silla Observatory",,,
"HD 219077 b","Radial Velocity","La Silla Observatory",,,5362.00
"HD 219077 b","Radial Velocity","La Silla Observatory",,,5362.00
"HD 219077 b","Radial Velocity","La Silla Observatory",,,5364.00
"GJ 163 b","Radial Velocity","La Silla Observatory",,,
"GJ 163 c","Radial Velocity","La Silla Observatory",,,
"GJ 163 d","Radial Velocity","La Silla Observatory",,,
"GJ 667 C e","Radial Velocity","La Silla Observatory",,,3350.00
"GJ 667 C f","Radial Velocity","La Silla Observatory",,,3350.00
"GJ 667 C g","Radial Velocity","La Silla Observatory",,,3350.00
"POTS-1 b","Transit","La Silla Observatory",10.54800000,,4400.00
"GJ 3293 b","Radial Velocity","La Silla Observatory",,,3466.00
"GJ 3293 b","Radial Velocity","La Silla Observatory",,,3466.00
"GJ 3293 c","Radial Velocity","La Silla Observatory",,,3466.00
"GJ 3293 c","Radial Velocity","La Silla Observatory",,,3466.00
"GJ 3341 b","Radial Velocity","La Silla Observatory",,,3526.00
"HD 564 b","Radial Velocity","La Silla Observatory",,,5902.00
"HD 30669 b","Radial Velocity","La Silla Observatory",,,5400.00
"HD 108341 b","Radial Velocity","La Silla Observatory",,,5122.00
"HD 108341 b","Radial Velocity","La Silla Observatory",,,5122.00
"HD 103720 b","Radial Velocity","La Silla Observatory",,,5017.00
"BD-11 4672 b","Radial Velocity","La Silla Observatory",,,4475.00
"BD-11 4672 b","Radial Velocity","La Silla Observatory",,,4550.00
"WASP-47 c","Radial Velocity","La Silla Observatory",,,5552.00
"WASP-47 c","Radial Velocity","La Silla Observatory",,219.30,5476.00
"WASP-47 c","Radial Velocity","La Silla Observatory",,,5576.00
"WASP-47 c","Radial Velocity","La Silla Observatory",,,
"WASP-47 c","Radial Velocity","La Silla Observatory",,,5552.00
"WASP-47 c","Radial Velocity","La Silla Observatory",,247.00,5576.00
"WASP-47 c","Radial Velocity","La Silla Observatory",,,5552.00
"WASP-41 c","Radial Velocity","La Silla Observatory",,241.00,5545.00
"HD 175607 b","Radial Velocity","La Silla Observatory",,,
"HD 175607 b","Radial Velocity","La Silla Observatory",,,5392.00
"Wolf 1061 b","Radial Velocity","La Silla Observatory",,,3342.00
"Wolf 1061 b","Radial Velocity","La Silla Observatory",,,3393.00
"Wolf 1061 c","Radial Velocity","La Silla Observatory",,,3342.00
"Wolf 1061 c","Radial Velocity","La Silla Observatory",,,3393.00
"Wolf 1061 d","Radial Velocity","La Silla Observatory",,,3342.00
"Wolf 1061 d","Radial Velocity","La Silla Observatory",,,3393.00
"TRAPPIST-1 b","Transit","La Silla Observatory",,366.00,
"TRAPPIST-1 b","Transit","La Silla Observatory",1.20389172,802.86,5780.00
"TRAPPIST-1 b","Transit","La Silla Observatory",,397.60,2520.00
"TRAPPIST-1 b","Transit","La Silla Observatory",1.11600000,,2566.00
"TRAPPIST-1 b","Transit","La Silla Observatory",1.12100000,,
"TRAPPIST-1 b","Transit","La Silla Observatory",,,2566.00
"TRAPPIST-1 b","Transit","La Silla Observatory",,,
"TRAPPIST-1 b","Transit","La Silla Observatory",1.11300000,400.00,2550.00
"TRAPPIST-1 b","Transit","La Silla Observatory",1.08600000,400.10,2559.00
"TRAPPIST-1 c","Transit","La Silla Observatory",1.04900000,342.00,2550.00
"TRAPPIST-1 c","Transit","La Silla Observatory",,339.70,2520.00
"TRAPPIST-1 c","Transit","La Silla Observatory",1.05600000,341.90,2559.00
"TRAPPIST-1 c","Transit","La Silla Observatory",1.09700000,,2566.00
"TRAPPIST-1 c","Transit","La Silla Observatory",,,2566.00
"TRAPPIST-1 c","Transit","La Silla Observatory",1.09500000,,
"TRAPPIST-1 c","Transit","La Silla Observatory",,315.00,
"TRAPPIST-1 d","Transit","La Silla Observatory",0.77200000,288.00,2559.00
"TRAPPIST-1 d","Transit","La Silla Observatory",0.80400000,286.00,2566.00
"TRAPPIST-1 d","Transit","La Silla Observatory",0.78400000,,
"TRAPPIST-1 d","Transit","La Silla Observatory",,286.20,2520.00
"TRAPPIST-1 d","Transit","La Silla Observatory",0.78800000,,2566.00
"NGC 2682 YBP 401 b","Radial Velocity","La Silla Observatory",,,6165.00
"NGC 2682 YBP 401 b","Radial Velocity","La Silla Observatory",,,6165.00
"HD 111998 b","Radial Velocity","La Silla Observatory",,,6557.00
"HD 111998 b","Radial Velocity","La Silla Observatory",,,
"GJ 536 b","Radial Velocity","La Silla Observatory",,,3674.00
"GJ 536 b","Radial Velocity","La Silla Observatory",,,3685.00
"GJ 536 b","Radial Velocity","La Silla Observatory",,451.00,3641.00
"GJ 3138 b","Radial Velocity","La Silla Observatory",,,3717.00
"GJ 3138 c","Radial Velocity","La Silla Observatory",,,3717.00
"GJ 3138 d","Radial Velocity","La Silla Observatory",,,3717.00
"GJ 3323 b","Radial Velocity","La Silla Observatory",,,3159.00
"GJ 3323 c","Radial Velocity","La Silla Observatory",,,3159.00
"GJ 273 b","Radial Velocity","La Silla Observatory",,,3382.00
"GJ 273 c","Radial Velocity","La Silla Observatory",,,3382.00
"GJ 3293 d","Radial Velocity","La Silla Observatory",,,3466.00
"GJ 3293 e","Radial Velocity","La Silla Observatory",,,3466.00
"HD 27894 c","Radial Velocity","La Silla Observatory",,,
"HD 27894 d","Radial Velocity","La Silla Observatory",,,
"HD 27894 d","Radial Velocity","La Silla Observatory",,,
"HD 27894 d","Radial Velocity","La Silla Observatory",,,
"HD 177565 b","Radial Velocity","La Silla Observatory",,,
"YZ Cet b","Radial Velocity","La Silla Observatory",,471.20,3151.00
"YZ Cet b","Radial Velocity","La Silla Observatory",,,
"YZ Cet b","Radial Velocity","La Silla Observatory",,,3056.00
"YZ Cet c","Radial Velocity","La Silla Observatory",,410.30,3151.00
"YZ Cet c","Radial Velocity","La Silla Observatory",,,3056.00
"YZ Cet c","Radial Velocity","La Silla Observatory",,,
"YZ Cet d","Radial Velocity","La Silla Observatory",,356.70,3151.00
"YZ Cet d","Radial Velocity","La Silla Observatory",,,
"YZ Cet d","Radial Velocity","La Silla Observatory",,,3056.00
"Ross 128 b","Radial Velocity","La Silla Observatory",,301.00,3192.00
"K2-18 c","Radial Velocity","La Silla Observatory",,363.00,3457.00
"HD 215152 d","Radial Velocity","La Silla Observatory",,,4935.00
"HD 215152 d","Radial Velocity","La Silla Observatory",,,
"HD 215152 e","Radial Velocity","La Silla Observatory",,,
"HD 215152 e","Radial Velocity","La Silla Observatory",,,4935.00
"GJ 1132 c","Radial Velocity","La Silla Observatory",,300.00,3270.00
"IC 4651 9122 b","Radial Velocity","La Silla Observatory",,,
"HD 20781 d","Radial Velocity","La Silla Observatory",,,5256.00
"HD 20781 e","Radial Velocity","La Silla Observatory",,,5256.00
"HD 45184 c","Radial Velocity","La Silla Observatory",,,5869.00
"HD 45184 c","Radial Velocity","La Silla Observatory",,,5820.13
"HD 181234 b","Radial Velocity","La Silla Observatory",,,
"HD 181234 b","Radial Velocity","La Silla Observatory",,,5386.00
"HD 181234 b","Radial Velocity","La Silla Observatory",,,
"HD 181234 b","Radial Velocity","La Silla Observatory",,,5372.83
"HD 181234 b","Radial Velocity","La Silla Observatory",,,5386.00
"HD 25015 b","Radial Velocity","La Silla Observatory",,,5160.00
"HD 25015 b","Radial Velocity","La Silla Observatory",,,
"HD 25015 b","Radial Velocity","La Silla Observatory",,,5160.00
"HD 50499 c","Radial Velocity","La Silla Observatory",,,6099.00
"HD 50499 c","Radial Velocity","La Silla Observatory",,,5978.10
"HD 92788 c","Radial Velocity","La Silla Observatory",,,5744.00
"HD 92788 c","Radial Velocity","La Silla Observatory",,,5702.25
"bet Pic c","Radial Velocity","La Silla Observatory",,1250.00,
"bet Pic c","Radial Velocity","La Silla Observatory",,,
"bet Pic c","Radial Velocity","La Silla Observatory",,,
"eps Ind A b","Radial Velocity","La Silla Observatory",,,
"eps Ind A b","Radial Velocity","La Silla Observatory",,275.00,4760.00
"DMPP-1 b","Radial Velocity","La Silla Observatory",,,
"DMPP-1 b","Radial Velocity","La Silla Observatory",,877.00,6196.00
"DMPP-1 c","Radial Velocity","La Silla Observatory",,,
"DMPP-1 c","Radial Velocity","La Silla Observatory",,1239.00,6196.00
"DMPP-1 d","Radial Velocity","La Silla Observatory",,,
"DMPP-1 d","Radial Velocity","La Silla Observatory",,1632.00,6196.00
"DMPP-1 e","Radial Velocity","La Silla Observatory",,1314.00,6196.00
"DMPP-3 A b","Radial Velocity","La Silla Observatory",,,
"DMPP-3 A b","Radial Velocity","La Silla Observatory",,854.00,5123.00
"DMPP-3 A b","Radial Velocity","La Silla Observatory",,854.00,5138.00
"GJ 1061 b","Radial Velocity","La Silla Observatory",,,2953.00
"GJ 1061 b","Radial Velocity","La Silla Observatory",,,2953.00
"GJ 1061 c","Radial Velocity","La Silla Observatory",,,2953.00
"GJ 1061 c","Radial Velocity","La Silla Observatory",,,2953.00
"GJ 1061 d","Radial Velocity","La Silla Observatory",,,2953.00
"GJ 1061 d","Radial Velocity","La Silla Observatory",,,2953.00
"GJ 887 b","Radial Velocity","La Silla Observatory",,,3680.00
"GJ 887 b","Radial Velocity","La Silla Observatory",,468.00,3688.00
"GJ 887 b","Radial Velocity","La Silla Observatory",,426.00,3688.00
"GJ 887 c","Radial Velocity","La Silla Observatory",,320.00,3688.00
"GJ 887 c","Radial Velocity","La Silla Observatory",,,3680.00
"GJ 887 c","Radial Velocity","La Silla Observatory",,352.00,3688.00
"HD 110113 c","Radial Velocity","La Silla Observatory",,990.00,5732.00
"HD 110113 c","Radial Velocity","La Silla Observatory",2.11384817,951.65,6003.00
"TOI-431 c","Radial Velocity","La Silla Observatory",,867.00,4850.00
"TOI-1062 c","Radial Velocity","La Silla Observatory",,859.00,5328.00
"HD 39194 b","Radial Velocity","La Silla Observatory",,,
"HD 39194 b","Radial Velocity","La Silla Observatory",,,5205.00
"HD 39194 c","Radial Velocity","La Silla Observatory",,,
"HD 39194 c","Radial Velocity","La Silla Observatory",,,5205.00
"HD 39194 d","Radial Velocity","La Silla Observatory",,,
"HD 39194 d","Radial Velocity","La Silla Observatory",,,5205.00
"HD 93385 b","Radial Velocity","La Silla Observatory",,,5977.00
"HD 93385 c","Radial Velocity","La Silla Observatory",,,5977.00
"HD 93385 d","Radial Velocity","La Silla Observatory",,,5977.00
"HD 96700 b","Radial Velocity","La Silla Observatory",,,5845.00
"HD 96700 c","Radial Velocity","La Silla Observatory",,,5845.00
"HD 96700 d","Radial Velocity","La Silla Observatory",,,5845.00
"HD 154088 b","Radial Velocity","La Silla Observatory",,,5374.00
"HD 189567 b","Radial Velocity","La Silla Observatory",,,5726.00
"HD 189567 b","Radial Velocity","La Silla Observatory",,,5730.00
"HD 189567 c","Radial Velocity","La Silla Observatory",,,5726.00
"HD 189567 c","Radial Velocity","La Silla Observatory",,,5730.00
"HD 29399 b","Radial Velocity","La Silla Observatory",,,4845.00
"HD 29399 b","Radial Velocity","La Silla Observatory",,,4845.00
"HD 22532 b","Radial Velocity","La Silla Observatory",,,5038.00
"HD 64121 b","Radial Velocity","La Silla Observatory",,,5078.00
"HD 69123 b","Radial Velocity","La Silla Observatory",,,4842.00
"HD 69123 b","Radial Velocity","La Silla Observatory",,,4842.00
"iot Dra c","Radial Velocity","La Silla Observatory",,,4504.00
"TOI-500 c","Radial Velocity","La Silla Observatory",,,4440.00
"TOI-500 d","Radial Velocity","La Silla Observatory",,,4440.00
"TOI-500 e","Radial Velocity","La Silla Observatory",,,4440.00
"pi Men d","Radial Velocity","La Silla Observatory",,,5998.00
"pi Men d","Radial Velocity","La Silla Observatory",,,5982.00
"HD 103891 b","Radial Velocity","La Silla Observatory",,,6072.00
"HD 103891 b","Radial Velocity","La Silla Observatory",,,6072.00
"HD 105779 b","Radial Velocity","La Silla Observatory",,,5792.00
"CoRoT-7 d","Radial Velocity","La Silla Observatory",,,5250.00
"HD 114082 b","Radial Velocity","La Silla Observatory",11.20898070,,6651.00
"HIP 54597 b","Radial Velocity","La Silla Observatory",,,4799.00
"HIP 54597 b","Radial Velocity","La Silla Observatory",,,
"BD-210397 b","Radial Velocity","La Silla Observatory",,,4051.00
"BD-210397 c","Radial Velocity","La Silla Observatory",,,4051.00
"BD-210397 c","Radial Velocity","La Silla Observatory",,,
"BD-210397 c","Radial Velocity","La Silla Observatory",,,
"HD 74698 b","Radial Velocity","La Silla Observatory",,,5783.00
"HD 74698 c","Radial Velocity","La Silla Observatory",,,5783.00
"HD 94771 b","Radial Velocity","La Silla Observatory",,,5631.00
"GJ 367 c","Radial Velocity","La Silla Observatory",,,3522.00
"GJ 367 d","Radial Velocity","La Silla Observatory",,,3522.00
"HD 75302 b","Radial Velocity","La Silla Observatory",,,
"HD 108202 b","Radial Velocity","La Silla Observatory",,,
"HD 108202 b","Radial Velocity","La Silla Observatory",,,
"HD 135625 b","Radial Velocity","La Silla Observatory",,,
"HD 185283 b","Radial Velocity","La Silla Observatory",,,
"HD 73256 c","Radial Velocity","La Silla Observatory",,,
"TOI-544 c","Radial Velocity","La Silla Observatory",,,4169.00
"TOI-2458 c","Radial Velocity","La Silla Observatory",,,6005.00
"HD 20794 e","Radial Velocity","La Silla Observatory",,,
"GJ 2126 b","Radial Velocity","La Silla Observatory",,,4159.00
"HD 87816 b","Radial Velocity","La Silla Observatory",,,4989.00
"HD 87816 c","Radial Velocity","La Silla Observatory",,,4989.00
"HD 94890 b","Radial Velocity","La Silla Observatory",,,4867.00
"HD 94890 c","Radial Velocity","La Silla Observatory",,,4867.00
"HD 102888 b","Radial Velocity","La Silla Observatory",,,4990.00
"TOI-1117 c","Radial Velocity","La Silla Observatory",,1210.00,5635.00
"TOI-1117 d","Radial Velocity","La Silla Observatory",,978.00,5635.00
"Proxima Cen d","Radial Velocity","La Silla Observatory",,282.00,2900.00
"Proxima Cen d","Radial Velocity","La Silla Observatory",,,2900.00
"HD 28471 b","Radial Velocity","La Silla Observatory",,1377.00,5766.00
"HD 28471 c","Radial Velocity","La Silla Observatory",,1066.00,5766.00
"HD 28471 d","Radial Velocity","La Silla Observatory",,945.00,5766.00
"TOI-1203 b","Radial Velocity","La Silla Observatory",1.52000000,1361.20,5737.00
"TOI-1203 c","Radial Velocity","La Silla Observatory",,,5737.00
"TOI-1203 e","Radial Velocity","La Silla Observatory",,,5737.00
"TOI-756 c","Radial Velocity","La Silla Observatory",,194.00,3657.00
"HD 23079 c","Radial Velocity","La Silla Observatory",,,5994.00
"HD 196067 c","Radial Velocity","La Silla Observatory",,,6072.00
